Id,Date,Total_Steps,Total_Distance,Tracker_Distance,Very_Active_Distance,Moderately_Active_Distance,Sedentary_Active_Distance,Very_Active_Minutes,Fairly_Active_Minutes,Lightly_Active_Minutes,Sedentary_Minutes,Calories,Total_Sleep_Records,Total_Minutes_Asleep,Total_Bed_Time
1503960366,12/04/2016,13162,8.5,8.5,1.879999995,0.550000012,0,25,13,328,728,1985,1,327,346
1503960366,13/04/2016,10735,6.96999979,6.96999979,1.570000052,0.689999998,0,21,19,217,776,1797,2,384,407
1503960366,14/04/2016,10460,6.739999771,6.739999771,2.440000057,0.400000006,0,30,11,181,1218,1776,0,0,0
1503960366,15/04/2016,9762,6.28000021,6.28000021,2.140000105,1.25999999,0,29,34,209,726,1745,1,412,442
1503960366,16/04/2016,12669,8.159999847,8.159999847,2.710000038,0.409999996,0,36,10,221,773,1863,2,340,367
1503960366,17/04/2016,9705,6.480000019,6.480000019,3.190000057,0.779999971,0,38,20,164,539,1728,1,700,712
1503960366,18/04/2016,13019,8.590000153,8.590000153,3.25,0.639999986,0,42,16,233,1149,1921,0,0,0
1503960366,19/04/2016,15506,9.880000114,9.880000114,3.529999971,1.320000052,0,50,31,264,775,2035,1,304,320
1503960366,20/04/2016,10544,6.679999828,6.679999828,1.960000038,0.479999989,0,28,12,205,818,1786,1,360,377
1503960366,21/04/2016,9819,6.340000153,6.340000153,1.340000033,0.349999994,0,19,8,211,838,1775,1,325,364
1503960366,22/04/2016,12764,8.130000114,8.130000114,4.760000229,1.120000005,0,66,27,130,1217,1827,0,0,0
1503960366,23/04/2016,14371,9.039999962,9.039999962,2.809999943,0.870000005,0,41,21,262,732,1949,1,361,384
1503960366,24/04/2016,10039,6.409999847,6.409999847,2.920000076,0.209999993,0,39,5,238,709,1788,1,430,449
1503960366,25/04/2016,15355,9.800000191,9.800000191,5.289999962,0.569999993,0,73,14,216,814,2013,1,277,323
1503960366,26/04/2016,13755,8.789999962,8.789999962,2.329999924,0.920000017,0,31,23,279,833,1970,1,245,274
1503960366,27/04/2016,18134,12.21000004,12.21000004,6.400000095,0.409999996,0,78,11,243,1108,2159,0,0,0
1503960366,28/04/2016,13154,8.529999733,8.529999733,3.539999962,1.159999967,0,48,28,189,782,1898,1,366,393
1503960366,29/04/2016,11181,7.150000095,7.150000095,1.059999943,0.5,0,16,12,243,815,1837,1,341,354
1503960366,30/04/2016,14673,9.25,9.25,3.559999943,1.419999957,0,52,34,217,712,1947,1,404,425
1503960366,01/05/2016,10602,6.809999943,6.809999943,2.289999962,1.600000024,0,33,35,246,730,1820,1,369,396
1503960366,02/05/2016,14727,9.710000038,9.710000038,3.210000038,0.569999993,0,41,15,277,798,2004,1,277,309
1503960366,03/05/2016,15103,9.659999847,9.659999847,3.730000019,1.049999952,0,50,24,254,816,1990,1,273,296
1503960366,04/05/2016,11100,7.150000095,7.150000095,2.460000038,0.870000005,0,36,22,203,1179,1819,0,0,0
1503960366,05/05/2016,14070,8.899999619,8.899999619,2.920000076,1.080000043,0,45,24,250,857,1959,1,247,264
1503960366,06/05/2016,12159,8.029999733,8.029999733,1.970000029,0.25,0,24,6,289,754,1896,1,334,367
1503960366,07/05/2016,11992,7.710000038,7.710000038,2.460000038,2.119999886,0,37,46,175,833,1821,1,331,349
1503960366,08/05/2016,10060,6.579999924,6.579999924,3.529999971,0.319999993,0,44,8,203,574,1740,1,594,611
1503960366,09/05/2016,12022,7.71999979,7.71999979,3.450000048,0.529999971,0,46,11,206,835,1819,1,338,342
1503960366,10/05/2016,12207,7.769999981,7.769999981,3.349999905,1.159999967,0,46,31,214,746,1859,1,383,403
1503960366,11/05/2016,12770,8.130000114,8.130000114,2.559999943,1.00999999,0,36,23,251,669,1783,1,285,306
1503960366,12/05/2016,0,0,0,0,0,0,0,0,0,1440,0,0,0,0
1624580081,12/04/2016,8163,5.309999943,5.309999943,0,0,0,0,0,146,1294,1432,0,0,0
1624580081,13/04/2016,7007,4.550000191,4.550000191,0,0,0,0,0,148,1292,1411,0,0,0
1624580081,14/04/2016,9107,5.920000076,5.920000076,0,0,0.01,0,0,236,1204,1572,0,0,0
1624580081,15/04/2016,1510,0.980000019,0.980000019,0,0,0,0,0,96,1344,1344,0,0,0
1624580081,16/04/2016,5370,3.49000001,3.49000001,0,0,0,0,0,176,1264,1463,0,0,0
1624580081,17/04/2016,6175,4.059999943,4.059999943,1.029999971,1.519999981,0.01,15,22,127,1276,1554,0,0,0
1624580081,18/04/2016,10536,7.409999847,7.409999847,2.150000095,0.620000005,0.01,17,7,202,1214,1604,0,0,0
1624580081,19/04/2016,2916,1.899999976,1.899999976,0,0,0,0,0,141,1299,1435,0,0,0
1624580081,20/04/2016,4974,3.230000019,3.230000019,0,0,0,0,0,151,1289,1446,0,0,0
1624580081,21/04/2016,6349,4.130000114,4.130000114,0,0,0.02,0,0,186,1254,1467,0,0,0
1624580081,22/04/2016,4026,2.619999886,2.619999886,0,0,0,0,0,199,1241,1470,0,0,0
1624580081,23/04/2016,8538,5.550000191,5.550000191,0,0,0.01,0,0,227,1213,1562,0,0,0
1624580081,24/04/2016,6076,3.950000048,3.950000048,1.149999976,0.910000026,0,16,18,185,1221,1617,0,0,0
1624580081,25/04/2016,6497,4.21999979,4.21999979,0,0,0.02,0,0,202,1238,1492,0,0,0
1624580081,26/04/2016,2826,1.840000033,1.840000033,0,0,0.01,0,0,140,1300,1402,0,0,0
1624580081,27/04/2016,8367,5.440000057,5.440000057,1.110000014,1.870000005,0,17,36,154,1233,1670,0,0,0
1624580081,28/04/2016,2759,1.789999962,1.789999962,0,0.200000003,0,0,5,115,1320,1401,0,0,0
1624580081,29/04/2016,2390,1.549999952,1.549999952,0,0,0,0,0,150,1290,1404,0,0,0
1624580081,30/04/2016,6474,4.300000191,4.300000191,0.899999976,1.279999971,0.01,11,23,224,1182,1655,0,0,0
1624580081,01/05/2016,36019,28.03000069,28.03000069,21.92000008,4.190000057,0.02,186,63,171,1020,2690,0,0,0
1624580081,02/05/2016,7155,4.929999828,4.929999828,0.860000014,0.589999974,0,7,6,166,1261,1497,0,0,0
1624580081,03/05/2016,2100,1.370000005,1.370000005,0,0,0.02,0,0,96,1344,1334,0,0,0
1624580081,04/05/2016,2193,1.429999948,1.429999948,0,0,0,0,0,118,1322,1368,0,0,0
1624580081,05/05/2016,2470,1.610000014,1.610000014,0,0,0.02,0,0,117,1323,1370,0,0,0
1624580081,06/05/2016,1727,1.120000005,1.120000005,0,0,0.01,0,0,102,1338,1341,0,0,0
1624580081,07/05/2016,2104,1.370000005,1.370000005,0,0,0,0,0,182,1258,1474,0,0,0
1624580081,08/05/2016,3427,2.230000019,2.230000019,0,0,0,0,0,152,1288,1427,0,0,0
1624580081,09/05/2016,1732,1.129999995,1.129999995,0,0,0,0,0,91,1349,1328,0,0,0
1624580081,10/05/2016,2969,1.929999948,1.929999948,0,0,0.01,0,0,139,1301,1393,0,0,0
1624580081,11/05/2016,3134,2.039999962,2.039999962,0,0,0,0,0,112,1328,1359,0,0,0
1624580081,12/05/2016,2971,1.929999948,1.929999948,0,0,0.01,0,0,107,890,1002,0,0,0
1644430081,12/04/2016,10694,7.769999981,7.769999981,0.140000001,2.299999952,0,2,51,256,1131,3199,0,0,0
1644430081,13/04/2016,8001,5.820000172,5.820000172,2.279999971,0.899999976,0,30,16,135,1259,2902,0,0,0
1644430081,14/04/2016,11037,8.020000458,8.020000458,0.360000014,2.559999943,0,5,58,252,1125,3226,0,0,0
1644430081,15/04/2016,5263,3.829999924,3.829999924,0.219999999,0.150000006,0,3,4,170,1263,2750,0,0,0
1644430081,16/04/2016,15300,11.11999989,11.11999989,4.099999905,1.879999995,0,51,42,212,1135,3493,0,0,0
1644430081,17/04/2016,8757,6.369999886,6.369999886,2.25,0.569999993,0,29,13,186,1212,3011,0,0,0
1644430081,18/04/2016,7132,5.190000057,5.190000057,1.070000052,1.669999957,0,15,33,121,1271,2806,0,0,0
1644430081,19/04/2016,11256,8.180000305,8.180000305,0.360000014,2.529999971,0,5,58,278,1099,3300,0,0,0
1644430081,20/04/2016,2436,1.769999981,1.769999981,0,0,0.01,0,0,125,1315,2430,0,0,0
1644430081,21/04/2016,1223,0.889999986,0.889999986,0,0,0.01,0,0,38,1402,2140,0,0,0
1644430081,22/04/2016,3673,2.670000076,2.670000076,0,0,0.01,0,0,86,1354,2344,0,0,0
1644430081,23/04/2016,6637,4.829999924,4.829999924,0,0.579999983,0,0,15,160,1265,2677,0,0,0
1644430081,24/04/2016,3321,2.410000086,2.410000086,0,0,0,0,0,89,1351,2413,0,0,0
1644430081,25/04/2016,3580,2.599999905,2.599999905,0.589999974,0.059999999,0,8,1,94,1337,2497,0,0,0
1644430081,26/04/2016,9919,7.210000038,7.210000038,0.800000012,1.720000029,0,11,41,223,1165,3123,0,0,0
1644430081,27/04/2016,3032,2.200000048,2.200000048,0,0,0,0,0,118,1322,2489,0,0,0
1644430081,28/04/2016,9405,6.840000153,6.840000153,0.200000003,2.319999933,0,3,53,227,1157,3108,0,0,0
1644430081,29/04/2016,3176,2.309999943,2.309999943,0,0,0,0,0,120,1193,2498,1,119,127
1644430081,30/04/2016,18213,13.23999977,13.23999977,0.629999995,3.140000105,0,9,71,402,816,3846,1,124,142
1644430081,01/05/2016,6132,4.460000038,4.460000038,0.239999995,0.99000001,0,3,24,146,908,2696,0,0,0
1644430081,02/05/2016,3758,2.730000019,2.730000019,0.07,0.310000002,0,1,7,148,682,2580,1,796,961
1644430081,03/05/2016,12850,9.340000153,9.340000153,0.720000029,4.090000153,0,10,94,221,1115,3324,0,0,0
1644430081,04/05/2016,2309,1.679999948,1.679999948,0,0,0.02,0,0,52,1388,2222,0,0,0
